DBA,BORO,ZIPCODE,Latitude,Longitude
MANHATTAN ELITE,Manhattan,10011,40.74799239,-74.00849574
LARTIGIANO GELATO USA LLC,Manhattan,10019,40.76780849,-73.98226697
"ABP OPCO, LLC",Manhattan,10001,40.75050916,-73.98947917
ANGELINA BAKERY,Manhattan,10075,40.77373424,-73.95979383
STREET VEGAN LLC,Manhattan,10001,40.75054191,-73.98754102
PITA YEERO,Manhattan,10169,40.75450075,-73.97595043
ROW NYC,Manhattan,10036,40.75886953,-73.98771633
ANJELLY LLC,Manhattan,10009,40.7273538,-73.98471314
REVIVE,Manhattan,10022,40.76193878,-73.97469873
"28 SEVENTH AVENUE SOUTH, LLC",Manhattan,10014,40.7304371,-74.00462921
HARI 999 INC,Manhattan,10036,40.75406824,-73.98232117
EL SAZON R D,Manhattan,10013,40.71671336,-73.99981242
HC CAMPUS EATS CORP,Manhattan,10065,40.76896567,-73.96536727
GOTHAM BURGER SOCIAL CLUB,Manhattan,10002,40.72000091,-73.98746378
KAIDA COFFEE & BAKERY,Manhattan,10002,40.71966342,-73.98855332
NOFLEX,Manhattan,10001,40.74611721,-73.98626067
JUICIEST VIBES LLC,Manhattan,10031,40.8292103,-73.94470638
HEYTEA,Manhattan,10003,40.72841914,-73.9877833
HOLY COW,Manhattan,10025,40.79445009,-73.96340731
PASTA CHELSEA LLC,Manhattan,10011,40.74292313,-74.00022014
HORN'S HOOK TAVERN,Manhattan,10028,40.77465306,-73.95100888
HAVANA CENTRAL,Manhattan,10036,40.7579907,-73.98366651
JAMROCK JERK LLC,Manhattan,10036,40.75987138,-73.98784971
BITCOIN NEW YORK STEAKHOUSE INC.,Manhattan,10034,40.86135115,-73.92118409
JUST NUTRITION SPOT CORP,Manhattan,10035,40.79800683,-73.93702484
PITA YEERO,Manhattan,10022,40.75691801,-73.97206567
SUSHI BAR,Manhattan,10021,40.76993773,-73.96678921
WINGSTOP,Manhattan,10009,40.73086936,-73.98140006
FROZEN PALM,Manhattan,10003,40.73083486,-73.99140182
CITY SCOOPS,Manhattan,10003,40.73390888,-73.9898715
IPIZZANY,Manhattan,10027,40.8139324,-73.95586778
JUA,Manhattan,10010,40.74019151,-73.98848121
"PT05, INC",Manhattan,10016,40.74750033,-73.98443782
UDON LAB,Manhattan,10001,40.74767903,-73.98672952
PITA YEERO,Manhattan,10004,40.70427914,-74.00978495
120 ORCHARD BAR LLC,Manhattan,10002,40.71944118,-73.98954181
BOULUD PRIVE,Manhattan,10022,40.76081352,-73.97509262
BAR AT THE GARDEN (BA6110),Manhattan,10121,40.75065484,-73.99194424
NAYA,Manhattan,10022,40.75679501,-73.97427116
MISS SAIGON,Manhattan,10025,40.80012976,-73.96594335
VENUE,Manhattan,10036,40.7593218,-73.98293703
ASIAN TASTE,Manhattan,10009,40.72289339,-73.98348394
Champagne Problems,Manhattan,10002,40.72135733,-73.99361812
SOGNO PIZZA,Manhattan,10024,40.78792383,-73.97683751
BANI L 27 CORP,Manhattan,10034,40.86523549,-73.9219821
CONVENE 101 PARK AVENUE LLC,Manhattan,10178,40.75098522,-73.97848538
MOUSTACHE,Manhattan,10014,40.73080491,-74.00439471
BANGKOK 2 THAI,Manhattan,10010,40.73513443,-73.97966685
ART MIDTOWN,Manhattan,10018,40.75531826,-73.99306622
WONTON NOODLE 1978,Manhattan,10013,40.71589815,-73.99831177
FALAFEL PLANT,Manhattan,10019,40.76681223,-73.98280875
TANGY NOODLE,Manhattan,10011,40.7402799,-74.00212188
PETISCO BRAZUCA LLC,Manhattan,10003,40.73660979,-73.99067938
LA BARRA,Manhattan,10001,40.75213179,-74.00114775
THE MIGRANT KITCHEN,Manhattan,10021,40.76954934,-73.9547312
BASILICO PIZZERIA,Manhattan,10003,40.7249744,-73.98721029
SKY ROOM,Manhattan,10018,40.75637216,-73.99176668
SIMO PIZZA,Manhattan,10119,40.76085011,-73.97971672
NO. 1 RESTAURANT,Manhattan,10040,40.85736738,-73.9322725
HASIBUL HOSSAIN,Manhattan,10014,40.73354147,-74.00335931
ELVIS,Manhattan,10012,40.72661622,-73.99225022
MORGAN STANLEY 2ND FLOOR BISTRO,Manhattan,10036,40.76020869,-73.98533366
TAN,Manhattan,10017,40.75499909,-73.97074903
PASTAI,Manhattan,10011,40.74545103,-74.00206792
GLAZE,Manhattan,10022,40.75922866,-73.9703501
MALTA COFEE CORPORATION,Manhattan,10021,40.77206584,-73.96098988
PARK AVE KITCHEN BY DAVID BURKE,Manhattan,10172,40.75555731,-73.97513791
MATI CAFE NEW YORK CORP,Manhattan,10035,40.79482721,-73.92169654
STELLA & FLY,Manhattan,10128,40.77837101,-73.94829088
Vanguard Wine Bar,Manhattan,10023,40.78058533,-73.98227799
ST MARY & ST ABRAAM CORP.,Manhattan,10025,40.7942357,-73.97210052
XHENSIL SHELE,Manhattan,10018,40.75513159,-73.9926692
GAMMEEOK,Manhattan,10001,40.74739075,-73.98605108
BAGELS AND CREAM,Manhattan,10025,40.7999953,-73.96604455
787 COFFEE ROASTERS,Manhattan,10036,40.75920426,-73.98653591
SAKS OFF 5TH CAFE,Manhattan,10022,40.76117178,-73.96970308
LIFEWORKS@NBA NYC,Manhattan,10022,40.75912577,-73.97640718
AMERICA GOURMET FOOD,Manhattan,10001,40.74656226,-73.99014746
CAFE MANHATTAN,Manhattan,10036,40.75594266,-73.98074693
CHAIVIO,Manhattan,10038,40.71052627,-74.00935303
MODERN BREAD AND BAGEL,Manhattan,10024,40.78429186,-73.97378383
MRS. FISH,Manhattan,10013,40.71487161,-73.9982613
"UNITED PALACE EVENTS, LLC",Manhattan,10033,40.84629309,-73.93840665
AKIN CAFE,Manhattan,10036,40.75517461,-73.98388016
MARTINY'S,Manhattan,10003,40.73597546,-73.98761953
THE MEAT HOOK,Manhattan,10004,40.69105356,-74.01962371
LEGEND,Manhattan,10023,40.77793078,-73.98001841
FUJI EAST 168 INC,Manhattan,10044,40.75918402,-73.95198048
SERAFINA EXPRESS,Manhattan,10017,40.75465346,-73.9715974
RANDALLS ISLAND CAFE,Manhattan,10035,40.79871344,-73.92119352
MAMAN,Manhattan,10282,40.71525221,-74.01460951
DAILY PROVISIONS,Manhattan,10280,40.71153017,-74.01567279
QUICK PHO VIETNAMESE CUISINE,Manhattan,10019,40.75984046,-73.98229436
SUBWAY,Manhattan,10001,40.74562103,-73.99335234
DUNKIN,Manhattan,10014,40.72738488,-74.00551655
XING WONG BBQ,Manhattan,10002,40.71374884,-73.99372707
TACO BELL,Manhattan,10014,40.72919919,-74.00521363
MANHATTA,Manhattan,10005,40.70810817,-74.00876837
LA CONSTANCERA LLC,Manhattan,10025,40.80255558,-73.96417582
"DGA GROUP, LLC",Manhattan,10009,40.72743592,-73.9830715
TRINITY CAFE,Manhattan,10006,40.70842347,-74.01253403
AGUMBE INC.,Manhattan,10025,40.80027245,-73.96581686
THE ALCHEMISTS KITCHEN,Manhattan,10012,40.72426142,-73.99661591
NARANJITO JUICE,Manhattan,10027,40.81380892,-73.95593289
PK UWS LLC,Manhattan,10024,40.78422678,-73.97752128
94 NAGLE PIZZA CORP.,Manhattan,10040,40.8605402,-73.92762372
SUSHI TOKYO NYC INC.,Manhattan,10025,40.79167759,-73.97210881
Sho Tse,Manhattan,10014,40.73316261,-74.00566497
JONGRO BBQ,Manhattan,10001,40.74762687,-73.98665374
SILVERSTONE 88 LLC,Manhattan,10128,40.77951656,-73.95053228
NOODLE VILLAGE,Manhattan,10013,40.7162385,-73.99810254
NINEPIN NOMAD LLC,Manhattan,10016,40.74383642,-73.98719583
GO GO BAR,Manhattan,10002,40.72205104,-73.98570646
POPEYES,Manhattan,10036,40.75766702,-73.98512126
CHIPOTLE MEXICAN GRILL,Manhattan,10027,40.81043671,-73.95179164
UMAMI BURGER / SA'MOTO,Manhattan,10001,40.75355633,-73.99881252
BIRCH COFFEE,Manhattan,10075,40.77193933,-73.95298937
HAPPY WOK,Manhattan,10009,40.72631504,-73.97720897
DOUGHNUTTERY EVENTS.,Manhattan,10036,,
Respite Center at the Holiday Inn,Manhattan,10006,40.70834367,-74.01432305
SIMON'S BURGER CORP,Manhattan,10003,40.73624736,-73.98923606
360 PAS,Manhattan,10010,40.74194777,-73.98508869
BAYLANDER STEEL BEACH,Manhattan,10027,40.81863896,-73.96160196
TEPPAN 3RD AVENUE LLC,Manhattan,10029,40.79122862,-73.94493306
SEOUL SWEETS INC,Manhattan,10001,40.74681706,-73.98575166
Ly Ly,Manhattan,10028,40.7744483,-73.9536411
LOS TACOS No. 1,Manhattan,10001,40.75481618,-73.99973651
JULIUS,Manhattan,10014,40.73443905,-74.00169952
ESSEX PEARL,Manhattan,10011,40.743082,-74.00865029
LA GIOCONDA,Manhattan,10022,40.75737275,-73.96864721
MONOMONO,Manhattan,10003,40.7255701,-73.98798947
LAOSHA BBQ INC.,Manhattan,10003,40.72879539,-73.99003825
RITZ DINER,Manhattan,10065,40.76157522,-73.9605376
BAGEL MARKET,Manhattan,10018,40.75546347,-73.98961554
MISTA OH,Manhattan,10010,40.74285687,-73.9906352
125 FAST FOOD INC.,Manhattan,10027,40.80650195,-73.94250378
WESTVILLE,Manhattan,10009,40.72835248,-73.9818662
DEVON AND BLAKELY,Manhattan,10281,40.71141766,-74.01544191
JUST SALAD,Manhattan,10022,40.75985435,-73.969895
NY SOHO COFFEE INC,Manhattan,10013,40.72038586,-74.00105341
SAKURA OF JAPAN,Manhattan,10038,40.70968096,-74.00827803
ROMA PIZZA RESTAURANT,Manhattan,10128,40.77827498,-73.94836317
THINK COFFEE,Manhattan,10003,40.73310741,-73.98994379
POSH POP BAKE SHOP,Manhattan,10018,40.75563108,-73.99188227
DESI FLAVORS DELI,Manhattan,10011,40.74484443,-74.00251179
AB STABLE LLC,Manhattan,10022,40.75664132,-73.97435785
BREWCASH INC.,Manhattan,10002,40.71712771,-73.99493883
GOKU NYC INC,Manhattan,10011,40.74189933,-74.00094549
DOLLY VARDEN,Manhattan,10019,40.76303038,-73.98595755
Nightingale,Manhattan,10014,40.73005013,-74.0033447
PINEAPPLE HOSPITALITY CONSULTING LLC,Manhattan,10021,40.76920376,-73.96310354
New York Comedy Club,Manhattan,10003,40.72638547,-73.98988708
CLARA,Manhattan,10024,40.77958189,-73.97386513
MAK PIZZA INC,Manhattan,10002,40.71405022,-73.98716911
SAVORY,Manhattan,10152,40.75877913,-73.97280126
NILI LOTAN MEATPACKING LLC,Manhattan,10013,40.71741008,-74.01021978
ZOU ZOU'S,Manhattan,10001,40.75325165,-73.99808343
Bridges,Manhattan,10038,40.71374625,-73.99795111
WPP,Manhattan,10007,40.71096789,-74.01235777
RHYTHM ZERO,Manhattan,10014,40.73325325,-74.00420724
BERTA GELATO,Manhattan,10018,40.75259203,-73.98572515
BIRRIA CITY,Manhattan,10019,40.76242419,-73.98973358
WESTWAY DINER,Manhattan,10036,40.75947923,-73.99184932
Janie's Life-Changing Baked Goods,Manhattan,10014,40.73345912,-74.00376343
"FOODA, INC",Manhattan,10036,40.75762868,-73.98580348
CHOP'T,Manhattan,10022,40.76135084,-73.97226234
MANDRAKE CAFE LLC,Manhattan,10002,40.7221172,-73.98815966
